mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts,trial_SD,threshold_z
533,NE,Preinduction__ID533_NE__3CT_FP20_3__3CT_Preinduction_C3-Trial____22,Hab,Preinduction,Entire_trial,299.84060800000225,26,0.0867127377223028,5.202764263338168,2.9324300743205365,2.4486297499740095,2,0.9956162054404711,1.9912324108809423
533,NE,W1__ID533_NE__3CT_FP22_3__3CT_W1_C3-Trial____26,Hab,W1,Entire_trial,299.8405120000007,23,0.0767074463906997,4.602446783441982,3.316616094069981,2.9140252655172394,3,1.1378690146646606,2.2757380293293212
533,NE,W2__ID533_NE__3CT_FP18_3__3CT_W2_C3-Trial____20,Hab,W2,Entire_trial,299.8402559999995,33,0.11005860400546101,6.603516240327661,2.885172285932024,2.6427483371991713,5,0.9766407153813718,1.9532814307627435
541,NE,Preinduction__ID541_NE__3CT_FP23_3__3CT_Preinduction_C3-Trial____25,Hab,Preinduction,Entire_trial,299.8405440000024,41,0.13673934636404497,8.204360781842698,2.5211023795673313,2.2621282128175126,3,0.9273581102517964,1.8547162205035927
541,NE,W1__ID541_NE__3CT_FP25_3__3CT_W1_C3-Trial____30,Hab,W1,Entire_trial,299.84028800000124,43,0.14340968082314484,8.604580849388691,2.8078546330011145,2.5602413745697543,8,1.005622918930406,2.011245837860812
541,NE,W2__ID541_NE__3CT_FP21_3__3CT_W2_C3-Trial____23,Hab,W2,Entire_trial,299.8401279999998,57,0.19010130625344462,11.406078375206677,2.4020570584061893,2.2090138640420602,6,0.918610318926243,1.837220637852486
566,NE,Preinduction__ID566_NE__3CT_FP7_3__3CT_Preinduction_C3-Trial_____9,Hab,Preinduction,Entire_trial,299.84064000000035,35,0.11672867293773105,7.003720376263863,3.01984665231374,2.750080313325159,9,1.00194427093578,2.00388854187156
566,NE,W1__ID566_NE__3CT_FP6_3__3CT_W1_C3-Trial_____9,Hab,W1,Entire_trial,299.84003200000006,35,0.11672890963405444,7.003734578043266,2.716082323562092,2.6663831085692635,11,0.9848162910301155,1.969632582060231
566,NE,W2__ID566_NE__3CT_FP6_3__3CT_W2_C3-Trial_____8,Hab,W2,Entire_trial,299.84003200000006,42,0.14007469156086533,8.40448149365192,2.677978053927882,2.5428349298269697,6,1.0086056891058899,2.0172113782117798
580,NE,Preinduction__ID580_NE__3CT_FP10_3__3CT_Preinduction_C3-Trial____12,Hab,Preinduction,Entire_trial,299.84031999999934,37,0.1233990145154597,7.403940870927582,2.8074735655474896,2.674879816149354,3,0.9603647556511368,1.9207295113022735
